Comment,Designator,Footprint,LCSC,Quantity
100k,"R14,R15,R16,R17,R18,R19,R20,R21,R3",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17900,9
10k,"R1,R10,R11,R2,R4,R5,R6,R7,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902,10
10n,"C1,C2,C3,C4,C5,C6,C7,C8",C_1206_3216Metric,C1846,8
100n,C9,C_1206_3216Metric,C24497,1
4014,U3,TSSOP-16_4.4x5mm_P0.65mm,C2877059,1
MMBT5551L,Q1,SOT-23,C41095,1
4044,"U1,U2",TSSOP-16_4.4x5mm_P0.65mm,C74801,2
SW_Push,SW1,SW_PUSH_6mm,,1
MountingHole_Pad,H1,MountingHole_2.2mm_M2,,1
MountingHole_Pad,H2,MountingHole_2.2mm_M2,,1
MountingHole_Pad,H3,MountingHole_2.2mm_M2,,1
MountingHole_Pad,H4,MountingHole_2.2mm_M2,,1
SW_Push,SW2,SW_PUSH_6mm,,1
SW_Push,SW3,SW_PUSH_6mm,,1
SW_Push,SW5,SW_PUSH_6mm,,1
SW_Push,SW6,SW_PUSH_6mm,,1
SW_Push,SW7,SW_PUSH_6mm,,1
SW_Push,SW8,SW_PUSH_6mm,,1
SW_Push,SW4,SW_PUSH_6mm,,1
S88_In,J2,PinSocket_1x06_P2.54mm_Horizontal,,1
S88_Out,J4,PinHeader_1x06_P2.54mm_Horizontal,,1
