Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_1206_3216Metric,15.5,-5.0,90.0,top
C2,10n,C_1206_3216Metric,15.5,-28.0,-90.0,top
C3,10n,C_1206_3216Metric,18.0,-5.0,90.0,top
C4,10n,C_1206_3216Metric,18.0,-28.0,-90.0,top
C5,10n,C_1206_3216Metric,48.0,-4.475,90.0,top
C6,10n,C_1206_3216Metric,47.5,-28.0,-90.0,top
C7,10n,C_1206_3216Metric,50.5,-4.5,90.0,top
C8,10n,C_1206_3216Metric,51.0,-28.0,-90.0,top
C9,100n,C_1206_3216Metric,60.0,-19.5,-90.0,top
J2,S88_In,PinSocket_1x06_P2.54mm_Horizontal,3.5,-16.525,0.0,top
J4,S88_Out,PinHeader_1x06_P2.54mm_Horizontal,63.0,-16.5,0.0,top
Q1,MMBT5551L,SOT-23,31.0625,-27.5,0.0,top
R1,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,36.0,-24.5,90.0,top
R10,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,50.5,-9.5,90.0,top
R11,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,51.5,-23.0,-90.0,top
R14,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,11.5,-13.0,90.0,top
R15,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,11.5,-21.0,0.0,top
R16,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,23.0,-13.0,90.0,top
R17,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,24.0,-21.0,180.0,top
R18,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,43.0,-13.0,90.0,top
R19,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,41.5,-21.0,0.0,top
R2,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,30.0,-21.0,90.0,top
R20,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,56.0,-13.0,90.0,top
R21,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,56.0,-21.0,180.0,top
R3,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,33.5,-23.0,-90.0,top
R4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,15.5,-10.0,90.0,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,15.5,-23.0,-90.0,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,18.0,-9.8,90.0,top
R7,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,18.0,-23.0,-90.0,top
R8,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,48.0,-9.55,90.0,top
R9,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,47.5,-23.0,-90.0,top
SW1,SW_Push,SW_PUSH_6mm,9.0,-5.5,90.0,top
SW2,SW_Push,SW_PUSH_6mm,9.0,-27.0,90.0,top
SW3,SW_Push,SW_PUSH_6mm,25.0,-5.5,-90.0,top
SW4,SW_Push,SW_PUSH_6mm,25.0,-27.0,-90.0,top
SW5,SW_Push,SW_PUSH_6mm,41.0,-5.5,90.0,top
SW6,SW_Push,SW_PUSH_6mm,41.0,-27.0,90.0,top
SW7,SW_Push,SW_PUSH_6mm,57.0,-5.5,-90.0,top
SW8,SW_Push,SW_PUSH_6mm,57.0,-27.0,-90.0,top
U1,4044,TSSOP-16_4.4x5mm_P0.65mm,17.225,-16.3625,-90.0,top
U2,4044,TSSOP-16_4.4x5mm_P0.65mm,49.725,-16.275,-90.0,top
U3,4014,TSSOP-16_4.4x5mm_P0.65mm,34.3625,-16.275,-90.0,top
